season,team_page,player_link,playername,birth,pos,ht,wt,experience
2018,/teams/POR/2018.html,/players/a/aminual01.html,Al-Farouq Aminu,us,PF,6-8,220,7
2018,/teams/POR/2018.html,/players/a/aminual01.html,Al-Farouq Aminu,us,PF,6-8,220,7
2018,/teams/POR/2018.html,/players/a/aminual01.html,Al-Farouq Aminu,us,PF,6-8,220,7
2018,/teams/POR/2018.html,/players/a/aminual01.html,Al-Farouq Aminu,us,PF,6-8,220,7
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/MIL/2018.html,/players/a/antetgi01.html,Giannis Antetokounmpo,gr,PF,6-11,242,4
2018,/teams/BRK/2018.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,5
2018,/teams/BRK/2018.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,5
2018,/teams/BRK/2018.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,5
2018,/teams/BRK/2018.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,5
2018,/teams/BRK/2018.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,5
2018,/teams/BRK/2018.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,5
2018,/teams/BRK/2018.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,5
2018,/teams/BRK/2018.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,5
2018,/teams/BRK/2018.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,5
2018,/teams/BRK/2018.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,5
2018,/teams/BRK/2018.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,5
2018,/teams/BRK/2018.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,5
2018,/teams/BRK/2018.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,5
2018,/teams/BRK/2018.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,5
2018,/teams/BRK/2018.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,5
2018,/teams/BRK/2018.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,5
2018,/teams/BRK/2018.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,5
2018,/teams/BRK/2018.html,/players/a/acyqu01.html,Quincy Acy,us,PF,6-7,240,5
